City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
atafu village,-8.5421,-172.5159,84.51,77,16,13.85,TK,1683659024
chonchi,-42.6128,-73.8092,62.11,88,72,1.34,CL,1683659024
suva,-18.1416,178.4415,69.28,100,75,0.0,FJ,1683659025
manadhoo,5.7667,73.3833,83.57,77,100,10.98,MV,1683659025
kaffrine,14.1059,-15.5508,95.59,27,100,4.09,SN,1683659025
parkes,-33.1333,148.1833,42.51,88,0,4.25,AU,1683659025
praia da vitoria,38.7333,-27.0667,66.45,94,75,9.1,PT,1683659025
avarua,-21.2078,-159.775,75.25,94,100,20.71,CK,1683659025
kudahuvadhoo,2.6708,72.8944,82.47,80,74,10.56,MV,1683659025
itaituba,-4.2761,-55.9836,91.56,58,40,5.75,BR,1683659025
mhamid,29.82,-5.72,92.66,9,0,8.39,MA,1683659025
kotlas,61.2611,46.6556,43.56,89,99,4.65,RU,1683659025
pumiao,22.75,108.4833,70.2,95,100,6.87,CN,1683659026
ust-nera,64.5667,143.2,24.17,73,99,7.85,RU,1683659026
san patricio,28.017,-97.5169,79.16,75,100,9.78,US,1683659026
enewetak,11.3474,162.3373,81.21,81,100,17.63,MH,1683659026
mana,5.6592,-53.7767,82.17,72,100,12.39,GF,1683659026
ibipeba,-11.6408,-42.0111,82.22,49,100,5.73,BR,1683659026
severo-yeniseyskiy,60.3725,93.0408,24.28,87,30,6.93,RU,1683659026
sinabang,2.4803,96.3801,80.26,78,91,2.8,ID,1683659027
thompson,55.7435,-97.8558,68.16,42,75,9.22,CA,1683659027
spartanburg,34.9496,-81.9321,89.76,43,40,3.44,US,1683658987
kuqa,41.7278,82.9364,62.38,17,72,2.37,CN,1683659027
lihue,21.9789,-159.3672,74.44,84,66,12.55,US,1683659027
kingston,17.997,-76.7936,93.24,62,20,27.63,JM,1683659027
aykhal,66.0,111.5,17.65,87,9,20.04,RU,1683659027
tanjung pandan,-2.75,107.65,79.29,87,100,4.99,ID,1683659027
moree,-29.4667,149.85,47.1,66,0,6.04,AU,1683658806
stary krym,45.0333,35.1,43.93,91,78,5.17,UA,1683659028
st. thomas,42.7736,-81.1804,68.23,31,6,8.03,CA,1683659028
san giorgio di nogaro,45.8336,13.2158,66.15,48,100,12.66,IT,1683659028
yeniseysk,58.4497,92.1703,35.71,71,9,6.49,RU,1683659028
nabire,-3.3667,135.4833,76.26,96,100,2.59,ID,1683659028
college,64.8569,-147.8028,50.32,46,75,4.61,US,1683658801
castillos,-34.1667,-53.8333,66.42,49,81,10.07,UY,1683659028
mumbwa,-14.9783,27.0619,61.7,50,4,5.57,ZM,1683659028
sao joao da barra,-21.6403,-41.0511,82.49,75,74,11.05,BR,1683659028
stanley,54.868,-1.6985,57.72,85,20,2.3,GB,1683659029
kununurra,-15.7667,128.7333,67.98,30,14,9.22,AU,1683659029
balikpapan,-1.2675,116.8289,79.79,94,40,0.0,ID,1683658828
anadyr,64.75,177.4833,21.7,85,90,6.71,RU,1683658906
qom,34.6401,50.8764,72.43,35,100,4.43,IR,1683659029
laojunmiao,39.8333,97.7333,45.9,18,100,8.32,CN,1683659029
bonthe,7.5264,-12.505,83.71,76,98,8.66,SL,1683658991
longyearbyen,78.2186,15.6401,30.04,80,75,6.91,SJ,1683659030
luorong,24.4058,109.6086,66.61,94,100,3.13,CN,1683659030
zhezqazghan,47.7833,67.7667,66.51,36,99,16.08,KZ,1683659030
carnarvon,-24.8667,113.6333,70.11,81,100,6.51,AU,1683659030
oyon,-10.6681,-76.7731,54.03,64,99,6.76,PE,1683659030
al jawf,29.5,38.75,76.28,22,0,6.4,SA,1683659030
ciudad dario,12.7314,-86.124,90.21,29,46,10.83,NI,1683659030
san fernando de monte cristi,19.8667,-71.65,85.77,64,25,18.01,DO,1683659030
newman,37.3138,-121.0208,70.14,39,100,7.0,US,1683659030
ilulissat,69.2167,-51.1,30.22,80,75,9.22,GL,1683659031
tura,25.5198,90.2201,77.05,36,0,5.86,IN,1683659031
margaret river,-33.95,115.0667,65.41,75,100,24.25,AU,1683659031
rio grande,-32.035,-52.0986,78.91,60,0,9.86,BR,1683659031
gaspe,48.8334,-64.4819,48.11,31,40,18.41,CA,1683659031
qaqortoq,60.7167,-46.0333,34.9,92,91,3.18,GL,1683659031
amuntai,-2.4177,115.2494,74.53,99,100,1.54,ID,1683659031
assinovskaya,43.24,45.18,58.08,79,92,3.09,RU,1683659031
polyarnyy,69.1989,33.4478,33.64,99,100,4.47,RU,1683659031
hilo,19.7297,-155.09,75.94,88,100,5.75,US,1683658904
palmer,42.1584,-72.3287,67.62,26,97,4.0,US,1683659032
rocha,-34.4833,-54.3333,63.93,49,100,12.24,UY,1683659032
hermanus,-34.4187,19.2345,61.68,76,100,5.5,ZA,1683659032
bahia honda,22.9036,-83.1592,86.54,59,53,11.52,CU,1683659032
utrik,11.2278,169.8474,80.82,82,95,14.16,MH,1683659032
leninskoye,41.7589,69.3864,60.06,43,0,5.01,KZ,1683659032
basse-terre,16.1667,-61.6667,83.44,62,40,17.27,GP,1683659032
murzuq,25.9155,13.9184,74.71,26,0,16.13,LY,1683658954
kourou,5.1552,-52.6478,82.45,73,63,11.01,GF,1683659032
yeed,4.55,43.0333,82.02,63,96,15.75,SO,1683659033
eydhafushi,5.1033,73.0708,82.9,79,99,10.76,MV,1683659033
figuig (centre),32.1089,-1.2286,84.6,14,0,10.4,MA,1683659033
gufeng,26.9083,118.9819,51.51,96,55,2.44,CN,1683659033
saudarkrokur,65.7461,-19.6394,40.15,98,100,2.93,IS,1683659033
tolanaro,-25.0319,46.9987,75.27,94,40,16.11,MG,1683659033
armacao de buzios,-22.7469,-41.8817,84.25,81,73,11.81,BR,1683659033
novodvinsk,64.4165,40.8122,39.45,92,100,3.15,RU,1683659017
grottammare,42.9888,13.8649,63.82,82,47,0.87,IT,1683659033
badger,64.8,-147.5333,46.81,47,100,4.88,US,1683659034
chibougamau,49.9168,-74.3659,49.62,25,0,8.05,CA,1683659034
kaspiyskiy,45.3929,47.3707,59.76,57,6,14.88,RU,1683659034
gornopravdinsk,60.05,69.9,35.2,57,26,6.33,RU,1683659034
hawaiian paradise park,19.5933,-154.9731,75.72,88,100,5.75,US,1683658759
mount gambier,-37.8333,140.7667,53.53,81,99,3.67,AU,1683659034
labrador city,52.9463,-66.9114,31.91,51,100,13.8,CA,1683659034
taoudenni,22.6783,-3.9836,99.97,7,100,13.91,ML,1683659034
changji,44.0167,87.3167,65.19,25,0,8.95,CN,1683659034
vilyuchinsk,52.9306,158.4028,30.47,78,100,5.48,RU,1683659034
vorkuta,67.5,64.0,18.09,99,100,2.53,RU,1683659034
skhirate,33.8498,-7.0404,73.09,88,0,1.99,MA,1683659035
fisterra,42.9049,-9.2629,63.01,74,22,15.37,ES,1683659035
begoro,6.3871,-0.3774,78.67,71,89,4.05,GH,1683659035
san jose,37.3394,-121.895,67.48,61,75,20.0,US,1683658834
chui,-33.6971,-53.4616,67.96,48,8,7.18,UY,1683659035
nova sintra,14.8667,-24.7167,69.42,80,2,14.18,CV,1683659035
fuyuan,46.4333,127.0833,40.73,53,3,6.98,CN,1683659035
horta,38.5333,-28.6333,64.04,96,75,11.01,PT,1683659035
mahina,-17.5065,-149.489,83.97,74,20,4.61,PF,1683659036
novyy urgal,51.0736,132.5642,36.86,79,38,2.08,RU,1683659036
bashmakovo,53.2133,43.0342,43.43,61,100,6.67,RU,1683659036
sidney,-33.8679,151.2073,53.28,74,20,8.05,AU,1683658826
saipan,15.1355,145.701,78.66,100,29,8.01,MP,1683659036
satana,20.5833,74.2,86.27,42,62,6.73,IN,1683659036
turabah,21.2141,41.6331,80.19,38,5,6.26,SA,1683659036
colonia,50.9333,6.95,60.96,89,100,4.61,DE,1683658810
bagrationovsk,54.3871,20.6437,47.57,70,12,7.67,RU,1683659036
dudinka,69.4058,86.1778,-14.24,100,63,1.83,RU,1683658954
terekli-mekteb,44.1671,45.8698,61.25,54,42,9.55,RU,1683659036
isafjordur,66.0755,-23.124,39.56,95,100,5.26,IS,1683659037
iron mountain,45.8202,-88.066,74.73,40,40,3.44,US,1683659037
akjoujt,19.6969,-14.4164,100.51,8,7,14.07,MR,1683659037
coquimbo,-29.9533,-71.3436,58.73,82,20,8.05,CL,1683659037
tiksi,71.6872,128.8694,33.22,82,100,30.24,RU,1683659037
sinop,41.7711,34.8709,47.34,97,100,0.34,TR,1683659037
novi pazar,43.1367,20.5122,52.36,87,100,2.48,RS,1683659037
viedma,-40.8135,-62.9967,62.26,46,100,17.45,AR,1683659038
labasa,-16.4167,179.3833,76.26,87,4,2.77,FJ,1683659038
iqaluit,63.7506,-68.5145,29.93,58,20,5.75,CA,1683658818
magadan,59.5667,150.8,34.68,89,99,0.96,RU,1683659038
coahuayana de hidalgo,18.7,-103.6583,94.33,42,0,8.41,MX,1683659038
cidreira,-30.1811,-50.2056,71.02,59,0,10.25,BR,1683658962
ta`u,-14.2336,-169.5144,81.55,78,100,15.66,AS,1683659038
walvis bay,-22.9575,14.5053,58.15,88,0,2.3,NA,1683659038
mugia,43.1041,-9.2179,63.16,73,20,12.93,ES,1683659039
antofagasta,-23.65,-70.4,63.68,76,26,10.04,CL,1683658806
port saint john's,-31.6229,29.5448,65.89,88,10,7.4,ZA,1683659039
punta arenas,-53.15,-70.9167,44.71,57,40,14.97,CL,1683658767
barakani,-12.1356,44.4317,80.2,73,34,8.75,KM,1683659039
debre mark'os,10.35,37.7333,56.84,86,100,3.87,ET,1683658973
haiku-pauwela,20.9219,-156.3051,78.17,65,28,11.99,US,1683659039
general cabrera,-32.8131,-63.8724,78.03,31,100,11.34,AR,1683659039
lospalos,-8.5186,127.0025,71.98,95,100,8.57,TL,1683659040
qamdo,31.1667,97.2333,30.96,75,35,2.86,CN,1683659040
tipasa,36.5897,2.4475,68.23,55,77,4.88,DZ,1683659040
hamilton,39.1834,-84.5333,76.62,48,20,13.8,US,1683659040
hailun,47.45,126.9333,39.15,59,12,6.71,CN,1683659040
usogorsk,63.4106,48.6872,41.23,96,100,5.03,RU,1683659040
mar del plata,-38.0023,-57.5575,69.1,54,0,13.8,AR,1683658829
udachny,66.4167,112.4,28.45,73,31,20.74,RU,1683659040
mariental,-24.6333,17.9667,72.07,20,0,8.23,NA,1683659041
willowmore,-33.2926,23.4895,61.27,29,6,3.8,ZA,1683659041
hovd,48.0056,91.6419,43.29,77,91,4.36,MN,1683659041
tosontsengel,48.7567,98.2839,36.07,80,100,8.08,MN,1683659041
suda,59.1525,37.5582,48.31,63,86,2.86,RU,1683659042
san salvador,13.6894,-89.1872,86.23,79,86,6.42,SV,1683659042
touros,-5.1989,-35.4608,82.98,73,38,14.23,BR,1683659042
dunda,-8.1167,34.25,64.2,75,99,3.38,TZ,1683659042
uturoa,-16.7333,-151.4333,81.48,71,100,3.74,PF,1683659042
antsiranana,-12.2787,49.2917,76.89,76,0,12.88,MG,1683659042
peace river,56.2501,-117.286,62.91,59,100,4.61,CA,1683658946
yuzhno-kurilsk,44.0306,145.8556,40.51,95,89,8.16,RU,1683659042
fale old settlement,-9.3852,-171.2468,83.89,76,25,14.63,TK,1683659043
evergreen,39.6333,-105.3172,71.37,37,56,5.99,US,1683659043
buala,-8.145,159.5921,80.56,83,17,7.05,SB,1683659043
turpan,42.9333,89.1667,69.8,22,0,2.89,CN,1683659043
benjamin hill,30.1667,-111.1,84.36,8,100,12.5,MX,1683659043
alice springs,-23.7,133.8833,33.35,75,0,6.8,AU,1683659043
brisas de zicatela,15.8369,-97.0419,91.92,58,0,16.11,MX,1683659044
huarmey,-10.0681,-78.1522,77.72,74,22,10.92,PE,1683659044
baidoa,3.1138,43.6498,75.22,80,77,11.32,SO,1683659044
antalaha,-14.9003,50.2788,73.04,84,5,7.29,MG,1683659044
arteche,12.2645,125.4048,78.19,84,100,0.92,PH,1683659044
puerto baquerizo moreno,-0.9,-89.6,85.19,79,75,13.8,EC,1683659044
orange,33.7,-117.7675,69.67,62,75,1.01,US,1683659044
hasaki,35.7333,140.8333,53.22,68,0,11.3,JP,1683659045
ribeira brava,32.65,-17.0667,75.7,78,1,7.92,PT,1683659045
caleta de carquin,-11.0925,-77.6267,75.13,76,34,9.66,PE,1683659045
taroa,8.7058,171.2275,81.36,81,99,13.0,MH,1683659045
queenstown,-31.8976,26.8753,54.25,43,5,2.98,ZA,1683658765
la'ie,21.6477,-157.9253,78.76,76,73,7.0,US,1683659045
magong,23.5654,119.5863,71.98,71,3,24.87,TW,1683659045
saldanha,-33.0117,17.9442,59.05,80,97,10.76,ZA,1683659046
howrah,22.5892,88.3103,89.6,70,20,10.36,IN,1683659046
pervomayskoye,43.919,46.7102,58.26,58,24,6.58,RU,1683659046
nadi,-17.8,177.4167,69.8,88,20,8.05,FJ,1683659046
nova vicosa,-17.8919,-39.3719,78.13,71,65,8.95,BR,1683658982
galesong,-5.3166,119.3661,78.82,88,100,5.99,ID,1683659046
iskateley,67.6803,53.1512,30.65,87,100,10.67,RU,1683659046
rikaze,29.25,88.8833,42.8,39,0,5.14,CN,1683659047
kasongo-lunda,-6.4667,16.8167,75.07,69,100,1.95,CD,1683659047
matoury,4.8483,-52.3317,82.36,74,75,14.97,GF,1683658810
san andres,12.5847,-81.7006,87.82,70,20,12.66,CO,1683659047
callao,-12.0667,-77.15,72.72,78,100,11.5,PE,1683659029
betio village,1.358,172.9211,82.44,75,100,7.16,KI,1683659047
chul'man,56.8479,124.9104,13.87,95,64,2.62,RU,1683659047
weno,7.4515,151.8468,78.75,100,100,6.91,FM,1683659047
cockburn town,21.4612,-71.1419,80.33,79,0,13.85,TC,1683658973
tazovsky,67.4667,78.7,10.45,95,100,6.42,RU,1683658912
sungai penuh,-2.0833,101.3833,63.75,83,75,3.4,ID,1683659048
la mira,18.035,-102.3266,90.82,48,0,11.41,MX,1683659048
plettenberg bay,-34.0527,23.3716,60.57,86,89,3.56,ZA,1683659048
east london,-33.0153,27.9116,59.94,100,0,3.44,ZA,1683658834
talnakh,69.4865,88.3972,-9.44,100,97,3.8,RU,1683659048
axim,4.8699,-2.2405,82.08,77,13,7.92,GH,1683659048
sur,22.5667,59.5289,88.32,42,12,10.11,OM,1683659048
yulinshi,38.2906,109.7494,52.52,63,100,0.96,CN,1683659049
beyneu,45.3167,55.2,74.34,38,60,10.13,KZ,1683659049
tromso,69.6496,18.957,50.38,66,75,8.05,NO,1683659049
fort-shevchenko,44.5086,50.263,60.91,81,0,10.2,KZ,1683659049
chimore,-16.9833,-65.1333,77.23,65,100,1.1,BO,1683659049
palikir - national government center,6.9248,158.1611,75.94,100,100,0.0,FM,1683659049
ust-tsilma,65.441,52.1498,32.61,92,100,7.2,RU,1683659050
raduzhny,62.0961,77.475,32.88,72,100,10.63,RU,1683659050
klyuchi,52.2667,79.1667,53.28,51,100,11.81,RU,1683659050
mascota,20.5167,-104.7833,90.01,12,0,8.1,MX,1683658849
nuuk,64.1835,-51.7216,32.61,86,100,8.01,GL,1683659050
kone,-21.0595,164.8658,68.2,85,33,5.3,NC,1683659050
redencao,-4.2258,-38.7306,85.71,71,100,3.18,BR,1683658873
new norfolk,-42.7826,147.0587,48.92,72,78,4.09,AU,1683659051
kargasok,59.0556,80.8572,31.68,49,0,4.72,RU,1683659051
kuruman,-27.4524,23.4325,55.99,29,0,4.99,ZA,1683658845
kyren,51.6828,102.1408,51.42,67,100,1.03,RU,1683659051
bengkulu,-3.8004,102.2655,76.78,84,21,4.38,ID,1683659051
krasnogvardeyskoye,45.8456,41.5186,47.97,96,100,5.08,RU,1683659051
ulladulla,-35.35,150.4667,48.38,76,0,4.14,AU,1683659052
lepsy,46.235,78.9456,65.62,25,6,4.54,KZ,1683659052
galliano,29.4422,-90.2992,87.01,70,40,9.22,US,1683659052
shima,24.4478,117.8111,64.42,70,73,2.86,CN,1683659052
portland,45.5234,-122.6762,61.84,69,75,3.44,US,1683658469
bainbridge,47.6262,-122.5212,61.27,72,75,6.91,US,1683659007
ola,59.5833,151.2833,34.23,87,90,2.28,RU,1683659052
sao miguel,-5.4667,-35.3667,84.97,76,50,14.67,BR,1683659052
saijo,33.9167,133.1833,53.49,52,9,2.44,JP,1683659053
nicoya,10.1483,-85.452,98.01,27,100,2.84,CR,1683659053
yasothon,15.75,104.1333,80.51,76,89,5.46,TH,1683659053
arkhangel'sk,64.5401,40.5433,37.29,95,100,3.38,RU,1683659053
ponta delgada,37.7333,-25.6667,66.92,88,40,10.36,PT,1683659053
qianzhou,28.3167,109.7167,59.09,94,100,5.75,CN,1683659053
fortaleza,-3.7227,-38.5247,87.93,55,20,13.8,BR,1683658802
art khwajah,37.0857,69.4796,64.76,38,0,1.66,AF,1683659054
gadzhiyevo,69.2551,33.3362,33.31,99,100,4.27,RU,1683659054
whitehorse,60.7161,-135.0538,47.8,42,75,13.8,CA,1683659054
keflavik,64.0049,-22.5624,49.91,100,75,5.75,IS,1683659054
prince george,53.9166,-122.753,59.29,59,0,6.91,CA,1683658788
guerrero negro,27.9769,-114.0611,66.36,60,11,18.88,MX,1683659054
taurage,55.2522,22.2897,48.24,62,15,5.44,LT,1683659054
funafuti,-8.5243,179.1942,84.2,89,20,7.96,TV,1683659054
puerto ayora,-0.7393,-90.3518,84.16,91,100,8.01,EC,1683659054
port alfred,-33.5906,26.891,61.18,96,6,8.5,ZA,1683659055
tobelo,1.7284,128.0095,80.01,83,99,3.22,ID,1683659055
gualeguay,-33.1416,-59.3097,69.4,37,78,3.33,AR,1683659060
acarau,-2.8856,-40.12,83.3,78,84,10.54,BR,1683659060
baikonur,45.6167,63.3167,78.06,13,100,10.65,KZ,1683659060
lompoc,34.6391,-120.4579,66.02,64,75,14.0,US,1683658804
kill devil hills,36.0307,-75.676,71.62,75,0,13.8,US,1683658889
cidade velha,14.9167,-23.6167,77.47,65,20,18.41,CV,1683659061
poso,-1.3959,120.7524,77.97,84,100,4.16,ID,1683658878
westport,41.1415,-73.3579,71.15,36,45,5.01,US,1683658743
susuman,62.7833,148.1667,30.11,91,98,2.04,RU,1683659061
koge,55.458,12.1821,56.21,65,100,18.41,DK,1683659061
arafat,21.3594,39.9664,83.21,26,0,6.78,SA,1683659062
vittel,48.2009,5.9484,55.22,100,75,9.22,FR,1683659062
mont-dore,-22.2833,166.5833,75.99,99,80,8.57,NC,1683659062
saint-philippe,-21.3585,55.7679,76.59,82,34,9.62,RE,1683659062
constantia,44.1833,28.65,50.7,74,23,9.13,RO,1683659062
kodungallur,10.2167,76.2167,80.6,94,100,2.93,IN,1683659062
cannonvale,-20.2833,148.7,65.59,60,10,12.82,AU,1683659062
wewak,-3.5534,143.6268,80.1,86,100,5.39,PG,1683659063
korla,41.7597,86.1469,59.99,30,0,6.33,CN,1683659063
codrington,-38.2667,141.9667,55.89,65,100,7.18,AU,1683659063
skovorodino,53.9833,123.9167,26.85,78,4,2.24,RU,1683659063
holualoa,19.6228,-155.9522,76.84,79,40,9.22,US,1683659060
vadso,70.0744,29.7487,40.08,93,100,8.05,NO,1683658998
qaisumah,28.3112,46.1273,85.96,28,20,4.61,SA,1683659063
gazojak,41.1875,61.4036,77.67,13,0,9.86,TM,1683659063
kajaani,64.2273,27.7285,53.65,37,0,8.05,FI,1683659064
tarashcha,49.5583,30.4926,41.16,81,24,6.71,UA,1683659064
maxixe,-23.8597,35.3472,71.42,88,20,7.0,MZ,1683659064
lodja,-3.4833,23.4333,73.58,81,100,0.2,CD,1683659064
la paz,-16.5,-68.15,57.18,37,75,9.22,BO,1683659064
mandiana,10.6333,-8.6833,91.65,30,100,2.66,GN,1683659064
geraldton,-28.7667,114.6,66.61,94,40,5.75,AU,1683659065
afaahiti,-17.75,-149.2833,82.27,75,100,6.89,PF,1683659065
luderitz,-26.6481,15.1594,62.26,60,0,2.57,NA,1683659065
hauterive,46.0901,3.4459,59.76,94,66,6.24,FR,1683659065
nemuro,43.3236,145.575,41.92,91,14,8.93,JP,1683659065
golyshmanovo,56.3979,68.3728,38.28,39,0,1.12,RU,1683659065
las tablas,7.7667,-80.2833,92.66,47,19,10.27,PA,1683659065
praia,14.9215,-23.5087,77.54,65,20,18.41,CV,1683659065
shimoda,34.6667,138.95,49.1,69,0,7.96,JP,1683659066
bermeo,43.4209,-2.7215,61.59,83,6,16.49,ES,1683659071
kincardine,56.0667,-3.7167,61.07,76,100,6.55,GB,1683658876
ukiah,39.1502,-123.2078,67.44,53,0,3.44,US,1683659071
malakal,9.5334,31.6605,89.69,43,73,5.21,SS,1683659071
saryozek,44.3583,77.9753,54.72,38,0,3.71,KZ,1683659071
nar'yan-mar,67.6713,53.087,30.79,87,100,10.65,RU,1683659071
tual,-5.6667,132.75,80.55,85,100,13.89,ID,1683659072
el tigre,8.8875,-64.2454,89.83,44,100,15.43,VE,1683659072
bahia blanca,-38.7196,-62.2724,64.81,52,100,3.0,AR,1683658819
aripuana,-9.1667,-60.6333,82.69,78,74,0.98,BR,1683659072
mont-laurier,46.5501,-75.4993,60.42,24,0,7.09,CA,1683659020
pathein,16.7833,94.7333,81.52,80,50,3.71,MM,1683659072
neryungri,56.6709,124.6491,16.72,94,55,3.29,RU,1683659072
weiz,47.2167,15.6167,53.13,83,100,1.9,AT,1683659073
antonio enes,-16.2325,39.9086,74.17,78,0,6.87,MZ,1683659073
kabompo,-13.5927,24.2008,63.09,47,6,4.23,ZM,1683659073
bardai,11.65,7.2333,88.9,15,72,6.13,NG,1683659073
grand falls-windsor,48.9332,-55.6649,36.5,89,100,7.0,CA,1683659073
cruzeiro do sul,-29.5128,-51.9853,76.08,61,0,3.44,BR,1683658880
labuan,5.2767,115.2417,77.36,88,20,0.0,MY,1683659073
kolonia town,6.964,158.206,77.0,100,100,0.0,FM,1683659073
la sarre,48.8002,-79.1996,58.48,35,4,5.57,CA,1683658788
pavlohrad,48.5167,35.8667,46.98,68,100,5.35,UA,1683659074
viseu,40.661,-7.9097,63.73,54,100,8.86,PT,1683659074
chota,-6.55,-78.65,63.37,78,71,5.99,PE,1683659074
amungan,15.3652,119.9582,81.3,79,98,2.95,PH,1683659074
baranovichi,53.1327,26.0139,44.28,54,15,5.95,BY,1683659075
kralendijk,12.15,-68.2667,85.98,70,75,21.85,BQ,1683659075
launceston,-41.45,147.1667,46.35,87,100,0.0,AU,1683659075
leua,48.2156,18.6071,47.95,77,5,8.3,SK,1683658946
ugoofaaru,5.6667,73.0,83.44,77,90,10.65,MV,1683659075
akureyri,65.6835,-18.0878,46.33,81,75,11.5,IS,1683659075
vila velha,-20.3297,-40.2925,78.75,81,75,6.91,BR,1683659075
chusovoy,58.3013,57.8131,37.13,61,6,2.77,RU,1683659075
